placekey,location_name,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,phone_number,date_range_start,date_range_end,raw_visitor_count
224-223@63c-rjh-pd9,La Cabra Craft Tacos,Restaurants and Other Eating Places,Full-Service Restaurants,722511,39.955599,-82.004667,1335 Linden Ave,Zanesville,OH,43701,17402978132,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,1181
222-222@63d-kqz-49z,Burger King,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.295395,-78.836567,440 Galleria Dr,Johnstown,PA,15904,18142627551,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,907
223-222@63h-s65-rx5,Mediterranean Restaurant & Cafe,Restaurants and Other Eating Places,Full-Service Restaurants,722511,39.445622,-83.827736,53 E Main St,Wilmington,OH,45177,19373826300,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,1006
223-222@8gd-kd7-wp9,Tractor Supply Co.,Building Material and Supplies Dealers,Hardware Stores,444130,32.438362,-80.72312,36 Parris Island Gtwy,Burton,SC,29906,18433220250,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,1124
zzy-222@63p-737-j35,Green Michael J MD,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,40.272359,-76.659481,6700 Cherry Dr,Hershey,PA,17033,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,71
227-222@64h-vmd-v75,Metro by T Mobile Authorized Dealer,Electronics and Appliance Stores,Electronics Stores,443142,36.849356,-76.210497,509 N Military Hwy Ste B,Norfolk,VA,23502,17574616727,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,89
zzw-222@63q-9zf-d5f,Jack Williams Tire,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,41.136974,-75.902202,304 S Mountain Blvd,Mountain Top,PA,18707,15702615375,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,518
222-222@628-ph5-qcq,Little Caesars,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,39.982305,-75.239359,5901 Lancaster Ave,Philadelphia,PA,19151,12158782222,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,342
zzw-222@63r-6y3-45f,CubeSmart,Lessors of Real Estate,Lessors of Miniwarehouses and Self-Storage Units,531130,39.105714,-77.184068,44 Research Pl,Rockville,MD,20850,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,40
225-222@63v-6k5-3nq,Abbott Hypnotherapy,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330,41.443756,-81.975299,3197 Stone Wheel St,Avon,OH,44011,14406691710,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,10
222-222@63v-6mg-p9z,Cdw Service Center,Other Miscellaneous Manufacturing,,3399,41.414669,-81.814102,5221 W 164th St,Brook Park,OH,44142,12162675500,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,113
zzy-224@63s-wn3-k4v,St John's Lutheran Church,Religious Organizations,Religious Organizations,813110,39.504736,-77.566385,Church Hl,Myersville,MD,21773,13012932979,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,67
223-222@63r-6cs-j7q,United States Court of Federal Claims Howard T Markey National Courts Building,"Justice, Public Order, and Safety Activities",Courts,922110,38.899474,-77.034914,717 Madison Pl NW,Washington,DC,20439,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,76
zzy-222@63d-7kx-66k,First United Methodist Church,Religious Organizations,Religious Organizations,813110,40.768786,-79.053217,110 W Main St,Marion Center,PA,15759,17243975517,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,295
22h-222@8gf-jp7-389,Advanced Chiropractic Solutions,Offices of Other Health Practitioners,Offices of Chiropractors,621310,34.995166,-81.241454,33 Congress St N,York,SC,29745,18036286800,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
222-222@8gg-jbv-grk,Carolina Physical Therapy and Sports Medicine,Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,34.003516,-81.211201,229 Saluda Springs Rd,Lexington,SC,29072,18033590505,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,80
22k-222@63s-477-hyv,Greater Maryland Pain Management,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,38.302476,-76.634821,41680 Miss Bessie Dr Ste 303,Leonardtown,MD,20650,14106482439,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,27
222-224@645-9dc-hbk,Jackson Hewitt Tax Service,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213,34.146075,-77.89712,5135 Carolina Beach Rd,Wilmington,NC,28412,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzy-222@63h-tsj-y5f,Hamburg Cemetery,Death Care Services,Cemeteries and Crematories,812220,39.652391,-82.663961,Hamburg Cemetery,Lancaster,OH,43130,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
226-222@628-pnw-pjv,Core Power Barre Fishtown,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,39.969215,-75.133966,113 E Girard Ave,Philadelphia,PA,19125,16094640100,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,212
zzw-222@63s-zdg-rzf,St James Lutheran Church,Religious Organizations,Religious Organizations,813110,40.240112,-77.362206,717 Bloserville Rd,Newville,PA,17241,17177769377,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,224
zzw-222@63d-756-x5z,UPMC McKeesport Outpatient Pharmacy,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,40.350976,-79.849385,1500 5th Ave,McKeesport,PA,15132,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
237-222@63r-b4q-swk,Chapel Of Peace Inc,Religious Organizations,Religious Organizations,813110,39.281029,-76.684386,305 S Augusta Ave,Baltimore,MD,21229,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,67
zzw-222@63c-jfp-yd9,The Gym Factory Buckeye Allstars,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,39.57793,-81.61242,23507 State Route 339,Beverly,OH,45715,17409848060,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,257
228-222@63t-qz7-q75,Sauceeino,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,41.05071,-80.662478,4721 Market St,Boardman,OH,44512,13303337766,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,164
222-222@63v-by9-t7q,Donatos Pizza,Restaurants and Other Eating Places,Full-Service Restaurants,722511,41.129388,-81.508901,1710 State Rd,Cuyahoga Falls,OH,44223,13309235900,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,421
222-222@63s-bfc-mff,At Your Service Repairs,Personal and Household Goods Repair and Maintenance,Appliance Repair and Maintenance,811412,39.582928,-76.363027,320 Martindale Ln,Forest Hill,MD,21050,14108931025,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
226-222@63r-48n-dsq,Pure Board Shop,Consumer Goods Rental,Recreational Goods Rental,532284,38.974937,-76.526143,1908 Forest Dr,Annapolis,MD,21401,14102677669,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
222-223@63r-brc-y5f,Suzuki,Other Motor Vehicle Dealers,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",441228,39.362264,-76.521717,7511 Belair Rd,Overlea,MD,21236,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,294
223-222@63r-tww-52k,Tackett's Mill Veterinary Hospital,"Other Professional, Scientific, and Technical Services",Veterinary Services,541940,38.674471,-77.27909,12793 Harbor Dr,Lake Ridge,VA,22192,17034948293,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,140
222-224@63r-6v8-hbk,Holy Cross Rehabilitation and Nursing Center,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110,39.095438,-76.939715,3415 Greencastle Rd,Fairland,MD,20866,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,54
